,Drug,Q1,Q2,Q3,Q4
0,300PROLA,,,,0.7709923664122137
1,A180,,,,
2,A180As2ndRx,,,,
3,Adspec,,,,
4,Advocin,0.9643705463182898,0.9031365313653137,0.8902147971360382,0.9340659340659341
5,AdvocinAs2ndRx,1.0,1.0,1.0,0.9929078014184397
6,AlbonBolus,,,,
7,Baytril,0.8168316831683168,0.9606413994169096,0.8051470588235294,0.9299242424242424
8,BaytrilAs2ndRx,1.0,1.0,1.0,1.0
9,BaytrilAs3rdRx,1.0,1.0,1.0,1.0
10,Bio-Mycin,0.8379746835443038,0.8467563767824865,0.8611183355006502,0.9237029501525941
11,Bio-MyicnAs3rdRx,,1.0,1.0,0.9797979797979798
12,Borgal,,,,
13,Ceftiflex,,,,
14,Draxxin,0.8865913342045251,0.8986468698994367,0.9072968915900853,0.9121949575299987
15,DraxxinAs2ndRx,,0.922509225092251,0.8835616438356164,0.7773584905660378
16,DraxxinAs3rdRx,,,1.0,
17,Excede,0.8061320754716981,0.8469144220934197,0.8099094807050977,0.8770604395604396
18,ExcedeAs2ndRx,1.0,0.9761306532663316,1.0,0.8911311736590547
19,ExcedeAs3rdRx,,,,1.0
20,Excenel,0.9504950495049505,0.9444444444444444,0.9327354260089686,0.8947368421052632
21,Hexasol,,,,
22,LA-200,1.0,0.9218106995884774,1.0,1.0
23,MassRxBio-Mycin,,0.959349593495935,,
24,MassRxDraxxin,0.8873197999411592,0.9295743504698729,0.8577492494047003,0.8395860284605433
25,MassRxDraxxin/Excede,,,0.7354116706634692,
26,MassRxExcede,0.8983407953647616,0.8777469057842889,0.9225806451612903,0.7718446601941747
27,MassRxLA-200,,,,1.0
28,MassRxMicotil,0.8962215587357151,0.9136166253101737,0.8861367370150386,0.8638776250288465
29,MassRxNaxcel,,,,
30,MassRxNoromycin300LA,,,,
31,MassRxNuflor,,,,
32,MassRxZactran,0.9694152789852649,0.9360168376742962,0.8726144787340309,0.9239217572550906
33,MassRxZactran/Excede,,,,
34,MassRxZuprevo,0.851577287066246,0.9361541367585946,,0.8767440322687298
35,Micotil,0.7131931166347992,0.9771309771309772,1.0,0.9861111111111112
36,MicotilAs2ndRx,,1.0,,
37,MicotilAs3rdRx,,,,
38,Naxcel,1.0,,1.0,
39,NaxcelAs2ndRx,,,1.0,1.0
40,NaxcelAs3rdRx,1.0,1.0,,1.0
41,Nuflor,0.8247688477951636,0.8347529812606473,0.7893133646401828,0.8273338607594937
42,NuflorAs2ndRx,1.0,0.9459041731066461,0.9946996466431095,0.9583333333333334
43,NuflorAs3rdRx,,1.0,,
44,NuflorGold,,,,
45,NuflorGoldAs2ndRx,,,,
46,Oxy100,,,,
47,Polyflex,0.96875,1.0,1.0,1.0
48,Pro-Pen-G,,,,
49,ResflorGold,0.7854958497160333,0.8227212681638045,0.8445886169271601,0.7432143946325099
50,ResflorGoldAs2ndRx,1.0,0.9164047768698932,0.6590909090909091,0.9984008528784648
51,Tetradure,,,,
52,Tylan,,,,
53,Zactran,0.8135593220338984,0.8636363636363636,0.9203539823008849,0.8043478260869565
54,Zuprevo,0.8026030368763557,0.9198113207547169,1.0,0.9285714285714286
