,Month,Risk,Pulls,%Pulls,Total Pulls,Average Deads,%Deads,Total Deads,Case Fatality,Seasons
1,2017-04-01,Low Risk,400.0,0.0154,4395.0,34.0,0.0012,378.0,0.086,Other
2,2017-04-01,Moderate Risk,381.0,0.0178,12963.0,30.0,0.0014000000000000002,1003.0,0.0774,Other
3,2017-04-01,High Risk,411.0,0.015300000000000001,6568.0,40.0,0.0014000000000000002,639.0,0.0973,Other
4,2017-04-01,Holstein,245.0,0.0127,245.0,14.0,0.0007000000000000001,14.0,0.0571,Other
5,2017-04-01,Natural,139.0,0.0088,277.0,10.0,0.0007000000000000001,20.0,0.0722,Other
7,2018-04-01,Low Risk,476.0,0.015600000000000001,5236.0,40.0,0.0012,439.0,0.08380000000000001,Other
8,2018-04-01,Moderate Risk,319.0,0.016399999999999998,10831.0,30.0,0.0017000000000000001,1038.0,0.0958,Other
9,2018-04-01,High Risk,494.0,0.0134,6419.0,53.0,0.0017000000000000001,638.0,0.09939999999999999,Other
10,2018-04-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
11,2018-04-01,Natural,175.0,0.0102,350.0,13.0,0.0008,26.0,0.07429999999999999,Other
13,2017-08-01,Low Risk,553.0,0.0182,5531.0,44.0,0.0015,439.0,0.0794,Other
14,2017-08-01,Moderate Risk,615.0,0.0371,20925.0,35.0,0.0025,1155.0,0.0552,Other
15,2017-08-01,High Risk,661.0,0.026099999999999998,8589.0,55.0,0.002,718.0,0.0836,Other
16,2017-08-01,Holstein,559.0,0.022000000000000002,559.0,82.0,0.0032,82.0,0.1467,Other
17,2017-08-01,Natural,125.0,0.0091,250.0,11.0,0.0008,21.0,0.084,Other
19,2018-08-01,Low Risk,715.0,0.0187,6437.0,57.0,0.0016,509.0,0.0791,Other
20,2018-08-01,Moderate Risk,480.0,0.028900000000000002,16314.0,44.0,0.0023,1487.0,0.0911,Other
21,2018-08-01,High Risk,578.0,0.0388,8097.0,40.0,0.0026,563.0,0.0695,Other
22,2018-08-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
23,2018-08-01,Natural,336.0,0.022400000000000003,671.0,23.0,0.0017000000000000001,45.0,0.06709999999999999,Other
25,2017-12-01,Low Risk,763.0,0.027999999999999997,8397.0,49.0,0.0021,540.0,0.0643,Fall
26,2017-12-01,Moderate Risk,650.0,0.0438,19513.0,54.0,0.0036,1625.0,0.0833,Fall
27,2017-12-01,High Risk,901.0,0.0444,12610.0,85.0,0.0037,1194.0,0.0947,Fall
28,2017-12-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall
29,2017-12-01,Natural,219.0,0.0128,437.0,26.0,0.0015,51.0,0.1167,Fall
31,2017-02-01,Low Risk,689.0,0.0233,6199.0,48.0,0.0016,431.0,0.0695,Spring
32,2017-02-01,Moderate Risk,462.0,0.021099999999999997,15716.0,30.0,0.0015,1023.0,0.06509999999999999,Spring
33,2017-02-01,High Risk,614.0,0.023700000000000002,9208.0,30.0,0.0015,424.0,0.046,Spring
34,2017-02-01,Holstein,293.0,0.0152,293.0,13.0,0.0007000000000000001,13.0,0.0444,Spring
35,2017-02-01,Natural,207.0,0.0159,207.0,19.0,0.0015,19.0,0.09179999999999999,Spring
37,2018-02-01,Low Risk,561.0,0.022099999999999998,6728.0,43.0,0.0015,517.0,0.0768,Spring
38,2018-02-01,Moderate Risk,388.0,0.0196,14345.0,32.0,0.0017000000000000001,1188.0,0.0828,Spring
39,2018-02-01,High Risk,536.0,0.0209,9114.0,58.0,0.0023,989.0,0.1085,Spring
40,2018-02-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spring
41,2018-02-01,Natural,116.0,0.0066,116.0,13.0,0.0007000000000000001,13.0,0.1121,Spring
43,2018-01-01,Low Risk,811.0,0.024700000000000003,9736.0,66.0,0.0019,790.0,0.08109999999999999,Other
44,2018-01-01,Moderate Risk,501.0,0.0265,17036.0,48.0,0.0029,1642.0,0.0964,Other
45,2018-01-01,High Risk,641.0,0.030899999999999997,10260.0,69.0,0.0025,1106.0,0.10779999999999999,Other
46,2018-01-01,Holstein,374.0,0.013999999999999999,374.0,9.0,0.0003,9.0,0.0241,Other
47,2018-01-01,Natural,161.0,0.0106,161.0,21.0,0.0014000000000000002,21.0,0.1304,Other
49,2018-07-01,Low Risk,592.0,0.0175,5917.0,51.0,0.0015,511.0,0.0864,Other
50,2018-07-01,Moderate Risk,330.0,0.021,10234.0,40.0,0.0024,1202.0,0.1175,Other
51,2018-07-01,High Risk,518.0,0.0263,6728.0,48.0,0.0022,624.0,0.09269999999999999,Other
52,2018-07-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
53,2018-07-01,Natural,161.0,0.011200000000000002,161.0,13.0,0.0009,13.0,0.08070000000000001,Other
55,2018-06-01,Low Risk,558.0,0.0182,5584.0,55.0,0.0016,499.0,0.0894,Other
56,2018-06-01,Moderate Risk,308.0,0.0195,10475.0,35.0,0.0021,1203.0,0.1148,Other
57,2018-06-01,High Risk,482.0,0.0195,5301.0,44.0,0.0015,480.0,0.09050000000000001,Other
58,2018-06-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
59,2018-06-01,Natural,97.0,0.006999999999999999,193.0,24.0,0.0017000000000000001,48.0,0.2487,Other
