,Month,Risk,Pulls,%Pulls,Total Pulls,Average Deads,%Deads,Total Deads,Case Fatality,Seasons
1,2017-04-01,Low Risk,2171.0,0.0965,23885.0,148.0,0.0053,1625.0,0.068,Other
2,2017-04-01,Moderate Risk,2270.0,0.12279999999999999,77166.0,146.0,0.0074,4956.0,0.0642,Other
3,2017-04-01,High Risk,3786.0,0.15960000000000002,60575.0,285.0,0.0124,4559.0,0.0753,Other
4,2017-04-01,Holstein,2766.0,0.1433,2766.0,85.0,0.0044,85.0,0.030699999999999998,Other
5,2017-04-01,Natural,2242.0,0.1444,4483.0,96.0,0.0063,191.0,0.0426,Other
7,2018-04-01,Low Risk,2560.0,0.1045,28164.0,164.0,0.005600000000000001,1805.0,0.0641,Other
8,2018-04-01,Moderate Risk,2517.0,0.15560000000000002,83075.0,156.0,0.0101,5295.0,0.0637,Other
9,2018-04-01,High Risk,4304.0,0.12990000000000002,51649.0,310.0,0.009300000000000001,3715.0,0.0719,Other
10,2018-04-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
11,2018-04-01,Natural,1668.0,0.0966,3335.0,108.0,0.0063,215.0,0.0645,Other
13,2017-08-01,Low Risk,1857.0,0.0771,18569.0,142.0,0.0054,1417.0,0.07629999999999999,Other
14,2017-08-01,Moderate Risk,1578.0,0.0971,53639.0,108.0,0.0078000000000000005,3556.0,0.0663,Other
15,2017-08-01,High Risk,2199.0,0.07490000000000001,28593.0,166.0,0.006,2154.0,0.0753,Other
16,2017-08-01,Holstein,3447.0,0.1356,3447.0,216.0,0.0085,216.0,0.06269999999999999,Other
17,2017-08-01,Natural,1798.0,0.1324,3596.0,105.0,0.0078000000000000005,210.0,0.0584,Other
19,2018-08-01,Low Risk,1935.0,0.0536,17416.0,132.0,0.0040999999999999995,1187.0,0.0682,Other
20,2018-08-01,Moderate Risk,1745.0,0.0935,59315.0,121.0,0.0060999999999999995,3978.0,0.06709999999999999,Other
21,2018-08-01,High Risk,1891.0,0.1073,26473.0,109.0,0.0058,1415.0,0.0535,Other
22,2018-08-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
23,2018-08-01,Natural,919.0,0.0635,1837.0,67.0,0.0049,134.0,0.0729,Other
25,2017-12-01,Low Risk,2280.0,0.10490000000000001,25075.0,149.0,0.0060999999999999995,1636.0,0.0652,Fall
26,2017-12-01,Moderate Risk,2185.0,0.1496,65538.0,168.0,0.0116,5028.0,0.0767,Fall
27,2017-12-01,High Risk,3547.0,0.1734,49664.0,244.0,0.012,3409.0,0.06860000000000001,Fall
28,2017-12-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall
29,2017-12-01,Natural,2109.0,0.12390000000000001,4217.0,133.0,0.0077,266.0,0.06309999999999999,Fall
31,2017-02-01,Low Risk,2285.0,0.10830000000000001,20563.0,153.0,0.0066,1376.0,0.0669,Spring
32,2017-02-01,Moderate Risk,2199.0,0.12390000000000001,74759.0,157.0,0.0092,5343.0,0.07150000000000001,Spring
33,2017-02-01,High Risk,3435.0,0.1725,51528.0,279.0,0.0144,4178.0,0.08109999999999999,Spring
34,2017-02-01,Holstein,2800.0,0.1452,2800.0,111.0,0.0058,111.0,0.039599999999999996,Spring
35,2017-02-01,Natural,3279.0,0.25239999999999996,3279.0,99.0,0.0076,99.0,0.0302,Spring
37,2018-02-01,Low Risk,2390.0,0.1127,28679.0,156.0,0.0068000000000000005,1872.0,0.0653,Spring
38,2018-02-01,Moderate Risk,2532.0,0.1576,93697.0,176.0,0.0111,6527.0,0.0697,Spring
39,2018-02-01,High Risk,3653.0,0.15,62106.0,317.0,0.0128,5385.0,0.0867,Spring
40,2018-02-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spring
41,2018-02-01,Natural,1873.0,0.1059,1873.0,91.0,0.0051,91.0,0.048600000000000004,Spring
43,2018-01-01,Low Risk,3077.0,0.1024,36918.0,177.0,0.0058,2121.0,0.0575,Other
44,2018-01-01,Moderate Risk,2621.0,0.15460000000000002,89103.0,194.0,0.0124,6582.0,0.0739,Other
45,2018-01-01,High Risk,3648.0,0.1602,58373.0,276.0,0.0102,4416.0,0.0757,Other
46,2018-01-01,Holstein,4675.0,0.17489999999999997,4675.0,277.0,0.0104,277.0,0.0593,Other
47,2018-01-01,Natural,1934.0,0.1272,1934.0,71.0,0.004699999999999999,71.0,0.036699999999999997,Other
49,2018-07-01,Low Risk,1554.0,0.0518,15536.0,98.0,0.0031,977.0,0.0629,Other
50,2018-07-01,Moderate Risk,1337.0,0.0886,40118.0,109.0,0.0070999999999999995,3255.0,0.08109999999999999,Other
51,2018-07-01,High Risk,2487.0,0.0857,32337.0,156.0,0.0059,2032.0,0.06280000000000001,Other
52,2018-07-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
53,2018-07-01,Natural,927.0,0.0643,927.0,67.0,0.004699999999999999,67.0,0.0723,Other
55,2018-06-01,Low Risk,1698.0,0.0576,16976.0,124.0,0.0040999999999999995,1235.0,0.0727,Other
56,2018-06-01,Moderate Risk,1506.0,0.08800000000000001,49691.0,106.0,0.0064,3486.0,0.0702,Other
57,2018-06-01,High Risk,3401.0,0.083,37413.0,232.0,0.0067,2556.0,0.0683,Other
58,2018-06-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
59,2018-06-01,Natural,1645.0,0.1002,1645.0,109.0,0.0066,109.0,0.0663,Other
61,2018-03-01,Low Risk,2653.0,0.126,31837.0,156.0,0.006,1869.0,0.0587,Spring
62,2018-03-01,Moderate Risk,2705.0,0.1655,97384.0,183.0,0.011200000000000002,6398.0,0.06570000000000001,Spring
63,2018-03-01,High Risk,4987.0,0.1727,59841.0,378.0,0.0131,4537.0,0.0758,Spring
64,2018-03-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spring
65,2018-03-01,Natural,1946.0,0.1101,1946.0,83.0,0.004699999999999999,83.0,0.042699999999999995,Spring
67,2018-05-01,Low Risk,2122.0,0.0733,21218.0,155.0,0.0051,1552.0,0.0731,Other
68,2018-05-01,Moderate Risk,1946.0,0.1273,56428.0,130.0,0.0089,3768.0,0.0668,Other
69,2018-05-01,High Risk,3747.0,0.10490000000000001,48717.0,263.0,0.008199999999999999,3419.0,0.0702,Other
70,2018-05-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other
71,2018-05-01,Natural,1730.0,0.1186,3459.0,121.0,0.0088,242.0,0.07,Other
73,2018-10-01,Low Risk,1753.0,0.06570000000000001,22794.0,127.0,0.0044,1649.0,0.0723,Fall
74,2018-10-01,Moderate Risk,1899.0,0.11460000000000001,74064.0,151.0,0.0091,5872.0,0.0793,Fall
75,2018-10-01,High Risk,2562.0,0.111,35868.0,199.0,0.0092,2986.0,0.0832,Fall
76,2018-10-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall
77,2018-10-01,Natural,1634.0,0.1041,3268.0,132.0,0.0084,264.0,0.0808,Fall
79,2018-09-01,Low Risk,1683.0,0.056100000000000004,18513.0,123.0,0.0042,1353.0,0.0731,Fall
80,2018-09-01,Moderate Risk,1685.0,0.1007,60666.0,138.0,0.0083,4823.0,0.0795,Fall
81,2018-09-01,High Risk,2543.0,0.121,38150.0,180.0,0.0083,2707.0,0.071,Fall
82,2018-09-01,Holstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall
83,2018-09-01,Natural,1629.0,0.10859999999999999,3257.0,138.0,0.009300000000000001,276.0,0.08470000000000001,Fall
