,Drug,Treated,Repulls,Mortalities,Treatment Success(%),Case Fatality Rate(%),$/Hd/Rx,Treatment $,Month,Year,Risk,Season
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
5,Advocin,142,23.0,14.0,83.80,9.86,36.13,5130.82,January,2018,Low,Other
6,AdvocinAs2ndRx,716,1.0,118.0,99.86,16.48,28.34,20291.44,January,2018,Low,Other
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
8,Baytril,4,4.0,1.0,0.00,25.00,22.88,91.52,January,2018,Low,Other
9,BaytrilAs2ndRx,1128,1.0,112.0,99.91,9.93,22.4,25267.2,January,2018,Low,Other
10,BaytrilAs3rdRx,9,2.0,3.0,77.78,33.33,22.96,206.64,January,2018,Low,Other
11,Bio-Mycin,36,12.0,5.0,66.67,13.89,5.21,187.38,January,2018,Low,Other
12,Bio-MyicnAs3rdRx,15,3.0,3.0,80.00,20.00,3.96,59.33,January,2018,Low,Other
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
15,Draxxin,7694,604.0,430.0,92.15,5.59,38.15,293487.63,January,2018,Low,Other
16,DraxxinAs2ndRx,187,24.0,15.0,87.17,8.02,30.2,5646.47,January,2018,Low,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
18,Excede,42,13.0,10.0,69.05,23.81,20.9,877.8,January,2018,Low,Other
19,ExcedeAs2ndRx,234,2.0,46.0,99.15,19.66,20.28,4745.52,January,2018,Low,Other
20,ExcedeAs3rdRx,9,0.0,4.0,100.00,44.44,0.0,0.0,January,2018,Low,Other
21,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
23,LA-200,39,0.0,0.0,100.00,0.00,6.07,236.73,January,2018,Low,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
25,MassRxDraxxin,879,0.0,15.0,100.00,1.71,17.93,15760.47,January,2018,Low,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
27,MassRxExcede,71,67.0,3.0,5.63,4.23,0.0,0.0,January,2018,Low,Other
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
29,MassRxMicotil,1922,190.0,5.0,90.11,0.26,0.0,0.0,January,2018,Low,Other
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
0,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
1,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
2,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
3,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
4,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
7,Nuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
10,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
12,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
13,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
14,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
15,ResflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
17,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
18,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
19,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
20,Zuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
0,MassRxZactran,19119,1276.0,65.0,93.33,0.34,23.76,454267.44,January,2018,Low,Other
1,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
2,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
3,Micotil,46,1.0,4.0,97.83,8.70,17.64,811.44,January,2018,Low,Other
4,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
5,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
6,Naxcel,2,0.0,1.0,100.00,50.00,23.67,47.34,January,2018,Low,Other
7,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
8,NaxcelAs3rdRx,8,0.0,4.0,100.00,50.00,0.0,0.0,January,2018,Low,Other
9,Nuflor,2970,268.0,169.0,90.98,5.69,28.85,85669.65,January,2018,Low,Other
10,NuflorAs2ndRx,347,0.0,44.0,100.00,12.68,0.0,0.0,January,2018,Low,Other
11,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
12,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
13,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
14,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
15,Polyflex,25,0.0,1.0,100.00,4.00,3.91,97.75,January,2018,Low,Other
16,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
17,ResflorGold,2668,174.0,333.0,93.48,12.48,29.26,78074.57,January,2018,Low,Other
18,ResflorGoldAs2ndRx,364,9.0,44.0,97.53,12.09,26.73,9727.9,January,2018,Low,Other
19,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
20,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
21,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Low,Other
22,Zuprevo,56,21.0,6.0,62.50,10.71,30.91,1730.96,January,2018,Low,Other
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
5,Advocin,839,34.0,108.0,95.95,12.87,33.19,27847.81,January,2018,Moderate,Other
6,AdvocinAs2ndRx,119,0.0,32.0,100.00,26.89,0.0,0.0,January,2018,Moderate,Other
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
8,Baytril,497,60.0,10.0,87.93,2.01,17.18,8538.46,January,2018,Moderate,Other
9,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
10,BaytrilAs3rdRx,567,0.0,139.0,100.00,24.51,0.0,0.0,January,2018,Moderate,Other
11,Bio-Mycin,1637,115.0,23.0,92.97,1.41,4.32,7071.84,January,2018,Moderate,Other
12,Bio-MyicnAs3rdRx,289,10.0,72.0,96.54,24.91,3.59,1038.95,January,2018,Moderate,Other
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
15,Draxxin,14543,1000.0,955.0,93.12,6.57,36.7,533660.98,January,2018,Moderate,Other
16,DraxxinAs2ndRx,202,106.0,16.0,47.52,7.92,29.68,5994.69,January,2018,Moderate,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
18,Excede,680,233.0,121.0,65.74,17.79,34.79,23657.2,January,2018,Moderate,Other
19,ExcedeAs2ndRx,532,156.0,30.0,70.68,5.64,21.45,11414.06,January,2018,Moderate,Other
20,ExcedeAs3rdRx,612,0.0,141.0,100.00,23.04,0.0,0.0,January,2018,Moderate,Other
21,Excenel,25,0.0,8.0,100.00,32.00,0.0,0.0,January,2018,Moderate,Other
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
